Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DepartmentTurnoverBenchmark,JobRoleTurnoverBenchmark,OvertimeImpact,TravelImpact,MaritalImpact,ExternalRiskScore,AgeGroup,IncomePerYear,IncomeToAgeRatio,YearsAtCompanyRatio,YearsInRoleRatio,YearsWithManagerRatio,YearsSincePromotionRatio,TotalSatisfaction,SatisfactionScore,PerformanceScore,CareerProgressionRate,PromotionFrequency,JobStability,IsNewEmployee,IsSeniorEmployee,LongTimeNoPromotion,IncomeLevelMatch,DistanceOvertimeInteraction
24,2,1,24,3,3,4,1,3,1,2,2,2,3597,8,0,22,4,4,0,6,2,3,4,3,1,2,0.12,0.12,0.7,1.0,1.2,0.1007999999999999,0,43164,143.88,0.5714285714285714,0.6,0.4,0.2,3.3333333333333335,13,12,0.14285714285714285,2.0,0.4444444444444444,0,0,0,3.5934065934065935,0
41,2,1,2,4,1,2,0,1,1,2,4,0,2778,4,1,13,3,3,1,10,1,2,7,7,1,0,0.12,0.12,1.3,1.0,1.0,0.156,2,33336,66.14285714285714,0.6363636363636364,0.875,0.0,0.125,3.0,11,3,0.09090909090909091,3.5,1.4,0,0,0,2.775224775224775,2
41,2,2,1,2,1,2,0,3,2,7,4,2,5993,8,1,11,3,1,0,8,0,1,6,4,0,5,0.125,0.125,1.3,1.0,1.2,0.195,2,71916,142.6904761904762,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.0,2.3333333333333335,8,9,0.2222222222222222,6.0,0.6666666666666666,0,0,0,2.9950024987506247,1
55,1,1,2,1,1,4,1,3,3,4,2,1,10976,3,0,18,3,2,1,23,4,3,3,2,1,2,0.12,0.1,0.7,1.2,0.9,0.09072,3,131712,196.0,0.125,0.5,0.5,0.25,2.6666666666666665,11,9,0.125,1.5,0.75,0,0,0,3.6574475174941687,0
24,2,1,17,2,1,4,0,3,1,2,2,1,2210,1,0,13,3,1,1,1,3,1,1,0,0,0,0.12,0.12,0.7,1.0,0.9,0.0756,0,26520,88.4,0.5,0.0,0.0,0.0,2.3333333333333335,8,9,0.5,1.0,0.5,1,0,0,2.207792207792208,0
23,2,1,1,2,1,4,1,3,1,6,3,1,1223,1,0,22,4,4,1,1,2,3,1,0,0,1,0.12,0.12,0.7,1.0,0.9,0.0756,0,14676,50.958333333333336,0.5,0.0,0.5,0.0,3.6666666666666665,14,12,0.5,1.0,0.5,1,0,0,1.2217782217782218,0
36,2,1,5,4,1,2,0,2,1,6,1,1,3419,9,1,14,3,4,1,6,3,4,1,1,0,0,0.12,0.12,1.3,1.0,0.9,0.1404,1,41028,92.4054054054054,0.14285714285714285,0.5,0.0,0.0,2.3333333333333335,11,6,0.14285714285714285,1.0,0.1,1,0,0,3.4155844155844157,5
39,2,2,24,1,2,2,0,2,4,7,4,1,12031,0,0,11,3,1,1,21,2,2,20,9,9,6,0.125,0.125,0.7,1.0,0.9,0.07875,1,144372,300.775,0.9090909090909091,0.42857142857142855,0.2857142857142857,0.42857142857142855,2.3333333333333335,9,6,0.18181818181818182,2.0,20.0,0,1,1,3.0069982504373907,0
27,2,1,16,4,5,3,0,3,1,2,2,1,2811,9,0,14,3,2,1,4,2,3,2,2,2,2,0.12,0.12,0.7,1.0,0.9,0.0756,0,33732,100.39285714285714,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.3333333333333335,10,9,0.2,0.6666666666666666,0.2,1,0,0,2.808191808191808,0
50,0,1,2,4,1,1,1,3,4,3,1,0,17924,1,0,11,3,4,1,31,3,3,31,6,14,7,0.12,0.09,0.7,0.9,1.0,0.0756,2,215088,351.45098039215685,0.96875,0.1875,0.21875,0.4375,2.0,9,9,0.125,2.066666666666667,15.5,0,1,1,4.4798800299925015,0
26,2,1,7,3,4,3,1,4,1,2,1,2,3578,0,0,12,3,4,0,8,2,3,7,7,0,7,0.12,0.12,0.7,1.0,1.2,0.1007999999999999,0,42936,132.5185185185185,0.7777777777777778,0.875,0.875,0.0,2.6666666666666665,11,12,0.1111111111111111,7.0,7.0,0,0,0,3.5744255744255744,0
29,1,2,20,3,5,3,0,3,1,8,4,1,2157,1,0,15,3,2,1,3,5,3,3,1,0,2,0.125,0.125,0.7,1.2,0.9,0.0945,0,25884,71.9,0.75,0.25,0.5,0.0,3.0,12,9,0.25,3.0,1.5,0,0,0,2.154845154845155,0
29,2,1,2,3,1,3,1,3,1,6,2,1,2703,0,0,23,4,4,1,6,3,3,5,4,0,4,0.12,0.12,0.7,1.0,0.9,0.0756,0,32436,90.1,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.0,3.0,12,12,0.14285714285714285,5.0,5.0,0,0,0,2.7002997002997002,0
36,2,2,3,4,2,1,0,3,2,7,2,2,9278,3,1,16,3,4,0,15,3,3,5,4,0,1,0.125,0.125,1.3,1.0,1.2,0.195,1,111336,250.75675675675674,0.3125,0.6666666666666666,0.16666666666666666,0.0,2.3333333333333335,10,9,0.125,5.0,1.25,0,0,0,4.6366816591704145,3
35,2,1,1,4,1,4,0,4,1,6,3,2,2506,3,0,13,3,3,0,7,0,3,2,2,2,2,0.12,0.12,0.7,1.0,1.2,0.1007999999999999,1,30072,69.61111111111111,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.3333333333333335,13,12,0.125,0.6666666666666666,0.5,1,0,0,2.5034965034965033,0
34,2,2,1,3,5,4,1,2,3,7,3,1,7083,1,1,14,3,4,0,10,3,3,10,9,8,6,0.125,0.125,1.3,1.0,0.9,0.14625,1,84996,202.37142857142857,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.7272727272727273,3.6666666666666665,14,6,0.2727272727272727,1.1111111111111112,5.0,0,1,1,2.360213262245918,1
39,0,1,9,3,1,4,1,3,5,3,4,2,19431,2,0,13,3,3,0,21,3,2,6,0,1,3,0.12,0.09,0.7,0.9,1.2,0.09072,1,233172,485.775,0.2727272727272727,0.0,0.42857142857142855,0.14285714285714285,3.6666666666666665,13,9,0.22727272727272727,3.0,2.0,0,0,0,3.8854229154169166,0
40,1,1,26,2,3,3,0,2,2,6,4,1,4422,3,1,13,3,4,1,16,3,1,1,1,0,0,0.12,0.12,1.3,1.2,0.9,0.16848,1,53064,107.85365853658537,0.058823529411764705,0.5,0.0,0.0,3.6666666666666665,12,6,0.11764705882352941,1.0,0.25,1,0,0,2.209895052473763,26
35,2,2,1,4,2,3,1,2,2,7,1,2,4312,0,0,14,3,2,0,16,2,3,15,13,2,8,0.125,0.125,0.7,1.0,1.2,0.105,1,51744,119.77777777777777,0.8823529411764706,0.8125,0.5,0.125,2.0,9,6,0.11764705882352941,5.0,15.0,0,1,0,2.1549225387306348,0
34,1,0,23,3,0,2,0,3,3,1,1,0,9950,9,1,15,3,3,3,11,2,3,3,2,0,2,0.073,0.073,1.3,1.2,1.0,0.11388,1,119400,284.2857142857143,0.25,0.5,0.5,0.0,2.0,9,9,0.25,3.0,0.3,0,0,0,3.315561479506831,23
35,1,2,11,2,2,4,1,3,2,7,4,0,4968,1,0,11,3,4,1,5,3,3,5,2,0,2,0.125,0.125,0.7,1.2,1.0,0.105,1,59616,138.0,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.0,4.0,15,9,0.3333333333333333,5.0,2.5,0,0,0,2.4827586206896552,0
20,2,1,1,3,1,4,0,2,1,6,2,2,2836,1,0,13,3,4,0,1,0,4,1,0,0,0,0.12,0.12,0.7,1.0,1.2,0.1007999999999999,0,34032,135.04761904761904,0.5,0.0,0.0,0.0,3.3333333333333335,14,6,0.5,1.0,0.5,1,0,0,2.833166833166833,0
59,2,1,3,3,1,3,1,2,1,6,4,1,2177,3,0,17,3,1,1,7,6,3,1,0,0,0,0.12,0.12,0.7,1.0,0.9,0.0756,3,26124,36.28333333333333,0.125,0.0,0.0,0.0,2.6666666666666665,11,6,0.125,1.0,0.25,1,0,0,2.174825174825175,0
39,2,1,6,3,3,4,1,3,1,2,1,1,2404,7,1,21,4,4,0,8,2,1,2,2,2,2,0.12,0.12,1.3,1.0,0.9,0.1404,1,28848,60.1,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,10,12,0.1111111111111111,0.6666666666666666,0.25,1,0,0,2.4015984015984015,6
29,2,2,2,3,3,1,1,2,2,7,2,1,6644,2,0,19,3,2,2,10,2,3,0,0,0,0,0.125,0.125,0.7,1.0,0.9,0.07875,0,79728,221.46666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,8,6,0.18181818181818182,0.0,0.0,1,0,0,3.3203398300849574,0
29,2,1,10,3,1,4,0,2,1,6,1,2,2404,6,1,20,4,3,0,3,5,3,0,0,0,0,0.12,0.12,1.3,1.0,1.2,0.1872,0,28848,80.13333333333334,0.0,0.0,0.0,0.0,2.6666666666666665,11,8,0.25,0.0,0.0,1,0,0,2.4015984015984015,10
33,2,0,3,2,0,4,1,3,1,1,2,0,2277,3,1,11,3,3,1,7,4,4,4,3,0,3,0.073,0.073,1.3,1.0,1.0,0.0949,1,27324,66.97058823529412,0.5,0.6,0.6,0.0,3.0,13,9,0.125,4.0,1.0,0,0,0,2.2747252747252746,3
54,2,2,3,3,2,4,0,3,2,7,1,1,5940,2,0,14,3,4,1,16,4,3,6,2,0,5,0.125,0.125,0.7,1.0,0.9,0.07875,3,71280,108.0,0.35294117647058826,0.2857142857142857,0.7142857142857143,0.0,3.0,12,9,0.11764705882352941,6.0,2.0,0,0,0,2.9685157421289357,0
36,2,1,6,3,1,2,0,4,1,2,4,1,3038,3,0,12,3,2,0,5,3,3,1,0,0,0,0.12,0.12,0.7,1.0,0.9,0.0756,1,36456,82.10810810810811,0.16666666666666666,0.0,0.0,0.0,2.6666666666666665,11,12,0.16666666666666666,1.0,0.25,1,0,0,3.034965034965035,0
36,0,1,9,4,1,1,1,4,1,2,2,1,2810,1,0,22,4,2,0,5,3,3,5,4,0,2,0.12,0.12,0.7,0.9,0.9,0.06804,1,33720,75.94594594594595,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667,8,16,0.16666666666666666,5.0,2.5,0,0,0,2.8071928071928074,0
42,1,1,2,3,1,4,1,3,3,0,4,1,10124,2,1,14,3,3,1,24,3,1,20,8,13,9,0.12,0.11,1.3,1.2,0.9,0.16848,2,121488,235.4418604651163,0.8,0.38095238095238093,0.42857142857142855,0.6190476190476191,3.6666666666666665,12,9,0.12,1.4285714285714286,6.666666666666667,0,1,1,3.3735421526157947,2
52,2,1,8,4,3,3,1,2,2,6,2,1,4941,2,0,15,3,1,0,11,3,2,8,2,7,7,0.12,0.12,0.7,1.0,0.9,0.0756,3,59292,93.22641509433963,0.6666666666666666,0.2222222222222222,0.7777777777777778,0.7777777777777778,2.0,8,6,0.16666666666666666,1.0,2.6666666666666665,0,0,1,2.469265367316342,0
43,2,2,2,3,3,4,1,3,2,7,4,1,7847,1,1,17,3,1,1,10,3,3,10,9,8,8,0.125,0.125,1.3,1.0,0.9,0.14625,2,94164,178.3409090909091,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.7272727272727273,3.0,12,9,0.18181818181818182,1.1111111111111112,5.0,0,1,1,3.921539230384808,2
30,1,1,3,3,3,3,0,3,1,6,3,0,2083,1,0,20,4,3,1,1,2,3,1,0,0,0,0.12,0.12,0.7,1.2,1.0,0.1007999999999999,0,24996,67.19354838709677,0.5,0.0,0.0,0.0,3.0,12,12,0.5,1.0,0.5,1,0,0,2.080919080919081,0
27,2,1,7,3,3,4,0,2,2,0,1,2,6811,8,0,19,3,1,0,9,2,1,7,6,0,7,0.12,0.11,0.7,1.0,1.2,0.1007999999999999,0,81732,243.25,0.7,0.75,0.875,0.0,2.0,7,6,0.2,7.0,0.7777777777777778,0,0,0,3.4037981009495253,0
33,1,1,5,4,1,4,0,3,3,3,2,1,11878,6,0,11,3,2,2,12,2,3,10,6,8,8,0.12,0.09,0.7,1.2,0.9,0.09072,1,142536,349.3529411764706,0.7692307692307693,0.5454545454545454,0.7272727272727273,0.7272727272727273,2.6666666666666665,11,9,0.23076923076923078,1.1111111111111112,1.4285714285714286,0,1,1,3.9580139953348885,0
36,2,1,27,3,3,3,1,3,2,0,3,1,5237,6,0,13,3,2,2,17,3,2,7,7,7,7,0.12,0.11,0.7,1.0,0.9,0.0756,1,62844,141.54054054054055,0.3888888888888889,0.875,0.875,0.875,2.6666666666666665,10,9,0.1111111111111111,0.875,1.0,0,0,1,2.6171914042978512,0
41,1,2,4,3,2,1,1,3,2,7,2,2,9355,1,0,18,3,3,0,8,5,3,8,7,7,7,0.125,0.125,0.7,1.2,1.2,0.126,2,112260,222.73809523809524,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,2.0,9,9,0.2222222222222222,1.0,4.0,0,0,1,4.675162418790605,0
52,2,2,3,4,2,3,1,2,4,3,1,1,16856,1,0,11,3,1,0,34,3,4,34,6,1,16,0.125,0.09,0.7,1.0,0.9,0.07875,3,202272,318.0377358490566,0.9714285714285714,0.17142857142857143,0.45714285714285713,0.02857142857142857,1.6666666666666667,9,6,0.11428571428571428,17.0,17.0,0,1,0,4.212946763309173,0
46,2,2,9,2,3,3,1,2,3,7,4,2,9619,1,0,16,3,4,0,9,3,3,9,8,4,7,0.125,0.125,0.7,1.0,1.2,0.105,2,115428,204.6595744680851,0.9,0.8,0.7,0.4,3.6666666666666665,14,6,0.3,1.8,4.5,0,0,0,3.2052649116961014,0
29,2,1,13,2,4,4,1,2,2,2,2,1,4025,4,1,13,3,1,1,10,2,3,4,3,0,3,0.12,0.12,1.3,1.0,0.9,0.1404,0,48300,134.16666666666666,0.36363636363636365,0.6,0.6,0.0,2.3333333333333335,10,6,0.18181818181818182,4.0,0.8,0,0,0,2.0114942528735633,13
31,2,1,26,1,1,1,1,3,1,6,3,0,2911,1,0,17,3,4,1,5,1,2,5,2,4,3,0.12,0.12,0.7,1.0,1.0,0.0839999999999999,1,34932,90.96875,0.8333333333333334,0.3333333333333333,0.5,0.6666666666666666,2.6666666666666665,10,9,0.16666666666666666,1.0,2.5,0,0,0,2.908091908091908,0
33,2,1,2,3,3,3,1,3,1,2,4,2,2496,4,0,11,3,4,0,7,3,3,1,1,0,0,0.12,0.12,0.7,1.0,1.2,0.1007999999999999,1,29952,73.41176470588235,0.125,0.5,0.0,0.0,3.6666666666666665,14,9,0.125,1.0,0.2,1,0,0,2.4935064935064934,0
29,2,1,1,3,1,4,0,2,4,5,4,0,16124,3,0,14,3,2,2,9,2,2,7,7,1,7,0.12,0.1,0.7,1.0,1.0,0.0839999999999999,0,193488,537.4666666666667,0.7,0.875,0.875,0.125,3.3333333333333335,12,6,0.4,3.5,1.75,0,0,0,4.029992501874531,0
49,2,1,8,2,4,1,0,3,3,2,2,1,7403,4,0,11,3,3,1,29,3,2,26,9,1,7,0.12,0.12,0.7,1.0,0.9,0.0756,2,88836,148.06,0.8666666666666667,0.3333333333333333,0.25925925925925924,0.037037037037037035,2.0,8,9,0.1,13.0,5.2,0,1,0,2.4668443852049315,0
35,2,1,1,4,1,3,0,1,1,6,4,1,2977,1,0,12,3,4,1,4,5,3,4,3,1,1,0.12,0.12,0.7,1.0,0.9,0.0756,1,35724,82.69444444444444,0.8,0.6,0.2,0.2,3.6666666666666665,14,3,0.2,2.0,2.0,0,0,0,2.9740259740259742,0
56,2,1,1,2,1,1,0,3,1,6,1,1,2066,2,0,22,4,4,1,5,3,4,3,2,1,0,0.12,0.12,0.7,1.0,0.9,0.0756,3,24792,36.24561403508772,0.5,0.5,0.0,0.25,2.0,10,12,0.16666666666666666,1.5,1.0,0,0,0,2.063936063936064,0
44,2,1,29,4,4,4,1,3,2,6,4,2,4541,1,0,25,4,2,0,20,3,3,20,11,13,17,0.12,0.12,0.7,1.0,1.2,0.1007999999999999,2,54492,100.91111111111111,0.9523809523809523,0.5238095238095238,0.8095238095238095,0.6190476190476191,3.3333333333333335,13,12,0.09523809523809523,1.4285714285714286,10.0,0,1,1,2.2693653173413293,0
29,1,1,1,3,1,4,1,4,2,0,3,2,6294,8,1,12,3,4,0,10,5,4,3,2,0,2,0.12,0.11,1.3,1.2,1.2,0.22464,0,75528,209.8,0.2727272727272727,0.5,0.5,0.0,3.6666666666666665,15,12,0.18181818181818182,3.0,0.3333333333333333,0,0,0,3.1454272863568216,1
59,2,0,6,2,3,2,1,3,1,1,3,1,2267,8,0,17,3,4,0,7,2,2,2,2,2,2,0.073,0.073,0.7,1.0,0.9,0.0459899999999999,3,27204,37.78333333333333,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,11,9,0.125,0.6666666666666666,0.2222222222222222,1,0,0,2.2647352647352648,0
40,1,1,9,4,3,4,1,3,1,6,2,0,3617,8,1,14,3,4,1,3,2,3,1,1,0,0,0.12,0.12,1.3,1.2,1.0,0.1872,1,43404,88.21951219512195,0.25,0.5,0.0,0.0,3.3333333333333335,13,9,0.25,1.0,0.1111111111111111,1,0,0,3.6133866133866133,9
45,2,2,4,2,1,3,0,3,2,7,1,0,5006,4,1,11,3,1,1,9,3,4,5,4,0,3,0.125,0.125,1.3,1.0,1.0,0.1625,2,60072,108.82608695652173,0.5,0.6666666666666666,0.5,0.0,1.6666666666666667,9,9,0.2,5.0,1.0,0,0,0,2.5017491254372812,4
34,2,2,3,2,1,4,0,1,2,7,4,2,6029,5,0,12,3,1,0,6,3,3,2,2,2,2,0.125,0.125,0.7,1.0,1.2,0.105,1,72348,172.25714285714287,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,12,3,0.2857142857142857,0.6666666666666666,0.3333333333333333,1,0,0,3.0129935032483757,0
35,0,1,3,3,1,3,1,2,1,2,3,1,1281,1,0,18,3,3,2,1,3,3,1,0,0,0,0.12,0.12,0.7,0.9,0.9,0.06804,1,15372,35.583333333333336,0.5,0.0,0.0,0.0,3.0,12,6,0.5,1.0,0.5,1,0,0,1.2797202797202798,0
27,2,1,14,3,1,1,1,3,1,6,1,1,2235,1,1,14,3,4,2,9,3,2,9,7,6,8,0.12,0.12,1.3,1.0,0.9,0.1404,0,26820,79.82142857142857,0.9,0.7,0.8,0.6,2.0,8,9,0.1,1.2857142857142858,4.5,0,0,1,2.2327672327672325,14
26,2,1,1,2,3,1,1,2,1,2,1,1,3955,1,0,16,3,1,2,6,2,3,5,3,1,3,0.12,0.12,0.7,1.0,0.9,0.0756,0,47460,146.4814814814815,0.7142857142857143,0.5,0.5,0.16666666666666666,1.0,6,6,0.14285714285714285,2.5,2.5,0,0,0,3.9510489510489513,0
32,0,1,1,3,1,3,0,2,1,2,2,1,2332,6,0,20,4,3,0,5,3,3,3,0,0,2,0.12,0.12,0.7,0.9,0.9,0.06804,1,27984,70.66666666666667,0.5,0.0,0.5,0.0,2.6666666666666665,11,8,0.16666666666666666,3.0,0.42857142857142855,0,0,0,2.32967032967033,0
35,2,1,6,1,1,3,1,3,1,6,3,1,3506,0,1,14,3,4,0,4,3,3,3,2,2,2,0.12,0.12,1.3,1.0,0.9,0.1404,1,42072,97.38888888888889,0.6,0.5,0.5,0.5,3.3333333333333335,13,9,0.2,1.0,3.0,0,0,0,3.5024975024975027,6
38,2,1,2,2,3,4,0,2,3,4,3,1,7756,3,1,19,3,4,1,10,6,4,5,4,0,2,0.12,0.1,1.3,1.0,0.9,0.1404,1,93072,198.87179487179486,0.45454545454545453,0.6666666666666666,0.3333333333333333,0.0,3.6666666666666665,15,6,0.2727272727272727,5.0,1.25,0,0,0,2.584471842719094,2
50,2,1,7,2,3,2,0,2,5,5,3,0,18740,5,1,12,3,4,1,29,2,2,27,3,13,8,0.12,0.1,1.3,1.0,1.0,0.156,2,224880,367.45098039215685,0.9,0.10714285714285714,0.2857142857142857,0.4642857142857143,3.0,11,6,0.16666666666666666,1.9285714285714286,4.5,0,1,1,3.747250549890022,7
36,2,1,10,3,1,4,1,3,3,0,1,1,8321,7,1,13,3,4,1,15,1,3,12,8,5,7,0.12,0.11,1.3,1.0,0.9,0.1404,1,99852,224.8918918918919,0.75,0.6153846153846154,0.5384615384615384,0.38461538461538464,3.0,12,9,0.1875,2.0,1.5,0,1,1,2.772742419193602,10
19,2,1,9,2,1,3,1,3,1,6,1,2,2552,1,0,25,4,3,0,1,4,3,1,1,0,0,0.12,0.12,0.7,1.0,1.2,0.1007999999999999,0,30624,127.6,0.5,0.5,0.0,0.0,2.3333333333333335,10,12,0.5,1.0,0.5,1,0,0,2.5494505494505493,0
38,2,2,1,4,1,1,0,2,2,7,4,2,8686,4,0,22,4,3,0,12,2,4,8,3,0,7,0.125,0.125,0.7,1.0,1.2,0.105,1,104232,222.71794871794873,0.6153846153846154,0.3333333333333333,0.7777777777777778,0.0,2.6666666666666665,12,8,0.15384615384615385,8.0,1.6,0,0,0,4.340829585207397,0
58,2,1,5,3,5,3,0,2,3,0,2,0,10552,2,1,13,3,4,1,24,3,3,6,0,0,4,0.12,0.11,1.3,1.0,1.0,0.156,3,126624,178.84745762711864,0.24,0.0,0.5714285714285714,0.0,3.0,12,6,0.12,6.0,2.0,0,0,0,3.5161612795734754,5
27,1,2,3,1,3,4,0,4,2,7,4,0,4647,1,1,20,4,2,2,6,3,3,6,5,0,4,0.125,0.125,1.3,1.2,1.0,0.195,0,55764,165.96428571428572,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.0,3.3333333333333335,13,16,0.2857142857142857,6.0,3.0,0,0,0,2.3223388305847075,3
45,1,1,7,4,1,1,1,4,2,4,3,1,6434,4,0,17,3,4,1,9,1,3,3,2,0,2,0.12,0.1,0.7,1.2,0.9,0.09072,2,77208,139.8695652173913,0.3,0.5,0.5,0.0,2.6666666666666665,11,12,0.2,3.0,0.6,0,0,0,3.215392303848076,0
51,2,1,7,4,3,2,1,2,2,4,3,1,6132,2,0,17,3,3,0,10,2,3,1,0,0,0,0.12,0.1,0.7,1.0,0.9,0.0756,3,73584,117.92307692307692,0.09090909090909091,0.0,0.0,0.0,2.6666666666666665,11,6,0.18181818181818182,1.0,0.3333333333333333,1,0,0,3.0644677661169415,0
49,2,1,20,4,3,3,0,3,2,4,1,1,6567,1,0,14,3,3,0,16,2,2,15,11,5,11,0.12,0.1,0.7,1.0,0.9,0.0756,2,78804,131.34,0.8823529411764706,0.6875,0.6875,0.3125,2.3333333333333335,9,9,0.11764705882352941,2.5,7.5,0,1,1,3.2818590704647677,0
29,1,2,13,3,5,1,0,3,2,7,2,2,5765,5,0,11,3,1,0,7,4,1,5,3,0,0,0.125,0.125,0.7,1.2,1.2,0.126,0,69180,192.16666666666666,0.625,0.5,0.0,0.0,1.3333333333333333,5,9,0.25,5.0,0.8333333333333334,0,0,0,2.8810594702648675,0
25,2,1,1,3,1,1,0,3,2,4,3,1,4898,0,0,12,3,4,2,5,3,3,4,2,1,2,0.12,0.1,0.7,1.0,0.9,0.0756,0,58776,188.3846153846154,0.6666666666666666,0.4,0.4,0.2,2.6666666666666665,11,9,0.3333333333333333,2.0,4.0,0,0,0,2.447776111944028,0
